,Value
2021-02-18,403411773.22334003
2021-02-19,386270753.1082303
2021-02-22,386270753.1082303
2021-02-23,386270753.1082303
2021-02-24,386270773.1082303
2021-02-25,395427321.9708841
2021-02-26,388904020.82543516
2021-03-01,392135759.754545
2021-03-02,406718406.17178863
2021-03-03,419725085.59684557
2021-03-04,407715844.77199644
2021-03-05,392075889.661143
2021-03-08,387726995.0863323
2021-03-09,387726995.0863323
2021-03-10,387726995.0863323
2021-03-12,387726995.0863323
2021-03-15,387726995.0863323
2021-03-16,387726995.0863323
2021-03-17,387726995.0863323
2021-03-18,387726995.0863323
2021-03-19,387726995.0863323
2021-03-22,387726995.0863323
2021-03-23,387726995.0863323
2021-03-24,387726995.0863323
2021-03-25,387726995.0863323
2021-03-26,387726995.0863323
2021-03-30,387726995.0863323
2021-03-31,387726995.0863323
2021-04-01,387727015.0863323
2021-04-05,384905357.69065154
2021-04-06,390127534.28868926
2021-04-07,388948337.26626176
2021-04-08,396402611.65125155
2021-04-09,402488148.1677554
2021-04-12,369470349.20580167
2021-04-13,369470349.20580167
2021-04-15,369470349.20580167
2021-04-16,369470369.20580167
2021-04-19,358907181.79848725
2021-04-20,358907181.79848725
2021-04-22,358907181.79848725
2021-04-23,358907181.79848725
2021-04-26,358907181.79848725
2021-04-27,358907181.79848725
2021-04-28,358907201.79848725
2021-04-29,356855514.17422736
2021-04-30,346909742.1004616
2021-05-03,346909742.1004616
2021-05-04,346909742.1004616
2021-05-05,346909742.1004616
2021-05-06,346909742.1004616
2021-05-07,346909762.1004616
2021-05-10,356582179.3881633
2021-05-11,360340495.5833135
2021-05-12,372779186.2743398
2021-05-14,363144927.8791818
2021-05-17,364900083.4935134
2021-05-18,378922211.9450323
2021-05-19,362286440.2419643
2021-05-20,354998730.7325947
2021-05-21,358013004.57956165
2021-05-24,357841270.9387701
2021-05-25,357841290.9387701
2021-05-26,358671646.5211398
2021-05-27,361804308.2728447
2021-05-28,362238359.7903679
2021-05-31,358784878.3826976
2021-06-01,362747886.3335613
2021-06-02,363464996.44644964
2021-06-03,368749008.11589646
2021-06-04,375957950.67756015
2021-06-07,391111728.19365966
2021-06-08,395131358.9313432
2021-06-09,393281953.7726894
2021-06-10,390639963.06371075
2021-06-11,395546547.1401183
2021-06-14,398169703.85490716
2021-06-15,401943972.402272
2021-06-16,397603526.16123223
2021-06-17,392829039.04033065
2021-06-18,382449698.7242398
2021-06-21,382449698.7242398
2021-06-22,382449698.7242398
2021-06-23,382449698.7242398
2021-06-24,382449698.7242398
2021-06-25,382449698.7242398
2021-06-28,382449718.7242398
2021-06-29,383307638.7194726
2021-06-30,381871601.5196783
2021-07-01,385247210.050892
2021-07-02,384538517.68883795
2021-07-05,387988698.3992139
2021-07-06,367996184.0005301
2021-07-07,367996184.0005301
2021-07-08,367996184.0005301
2021-07-09,367996184.0005301
2021-07-12,367996184.0005301
2021-07-13,367996184.0005301
2021-07-14,367996184.0005301
2021-07-15,367996184.0005301
2021-07-16,367996184.0005301
2021-07-19,367996184.0005301
2021-07-20,367996184.0005301
2021-07-22,367996184.0005301
2021-07-23,367996184.0005301
2021-07-26,367996184.0005301
2021-07-27,367996184.0005301
2021-07-28,367996184.0005301
2021-07-29,367996184.0005301
2021-07-30,367996184.0005301
2021-08-02,367996184.0005301
2021-08-03,367996204.0005301
2021-08-04,366330691.8516305
2021-08-05,362898106.9322342
2021-08-06,366046335.85734653
2021-08-09,364929218.91341084
2021-08-10,359668633.62558436
2021-08-11,359668633.62558436
2021-08-12,359668653.62558436
2021-08-13,364052461.36636454
2021-08-16,361208910.4563961
2021-08-17,352796760.9871813
2021-08-18,349005364.83132464
2021-08-20,349005364.83132464
2021-08-23,349005364.83132464
2021-08-24,349005364.83132464
2021-08-25,349005364.83132464
2021-08-26,349005364.83132464
2021-08-27,349005364.83132464
2021-08-30,349005364.83132464
2021-08-31,349005364.83132464
2021-09-01,349005384.83132464
2021-09-02,349481341.2163724
2021-09-03,350611722.07801443
2021-09-06,353943316.03021604
2021-09-07,350334093.7947559
2021-09-08,351266122.2581201
2021-09-09,355371162.93942374
2021-09-13,356442043.30401546
2021-09-14,363105255.0380293
2021-09-15,369272670.04354906
2021-09-16,370561688.13830096
2021-09-17,368836383.5902763
2021-09-20,359535668.75512016
2021-09-21,356065238.7329423
2021-09-22,367626712.6328629
2021-09-23,380239209.794615
2021-09-24,381131588.27860504
2021-09-27,392018817.9971732
2021-09-28,392574073.8272242
2021-09-29,391562688.5531342
2021-09-30,396758393.5144907
2021-10-01,395152109.9144296
2021-10-04,404710635.4940849
2021-10-05,410620253.1590425
2021-10-06,404452843.63563305
2021-10-07,435785763.6901611
2021-10-08,460277047.9650547
2021-10-11,485720169.92504376
2021-10-12,503766381.7652658
2021-10-13,592410828.8326057
2021-10-14,602703129.9028116
2021-10-18,610080246.7212807
2021-10-19,585152697.1388965
2021-10-20,577140978.9184889
2021-10-21,596575346.3192358
2021-10-22,590566563.1646897
2021-10-25,574761273.164519
2021-10-26,595682958.5822667
2021-10-27,595107874.9200282
2021-10-28,576486561.6887904
2021-10-29,572322072.9824712
2021-11-01,573194651.2806073
2021-11-02,588722302.1633468
2021-11-03,579659529.4692392
2021-11-04,583526559.2695479
2021-11-08,593541210.6044797
2021-11-09,608335126.2425523
2021-11-10,605598453.2667644
2021-11-11,604230102.7936786
2021-11-12,600462223.4989246
2021-11-15,604785402.7073816
2021-11-16,615593284.8468088
2021-11-17,629474998.4267011
2021-11-18,612856590.4888144
2021-11-22,585707964.6234487
2021-11-23,585707964.6234487
2021-11-24,585707964.6234487
2021-11-25,585707964.6234487
2021-11-26,585707964.6234487
2021-11-29,585707964.6234487
2021-11-30,585707964.6234487
2021-12-01,585707964.6234487
2021-12-02,585707964.6234487
2021-12-03,585707964.6234487
2021-12-06,585707964.6234487
2021-12-07,585707964.6234487
2021-12-08,585707984.6234487
2021-12-09,589146662.9690584
2021-12-10,587477008.2986685
2021-12-13,594692262.023793
2021-12-14,582249422.1429151
2021-12-15,586999971.1875213
2021-12-16,586701803.4313872
2021-12-17,567381622.104147
2021-12-20,567381622.104147
2021-12-21,567381622.104147
2021-12-22,567381622.104147
2021-12-23,567381622.104147
2021-12-24,567381622.104147
2021-12-27,567381622.104147
2021-12-28,567381642.104147
2021-12-29,565879832.2933089
2021-12-30,559378616.2994002
2021-12-31,559378636.2994002
2022-01-03,579842032.861145
2022-01-04,572917163.7567505
2022-01-05,570349482.9964095
2022-01-06,567567887.1167711
2022-01-07,571827854.6405363
2022-01-10,583518438.6911381
2022-01-11,586416753.9212762
2022-01-12,592349626.5020319
2022-01-13,591552073.5517799
2022-01-14,595598090.8582044
2022-01-17,608416917.3061259
2022-01-18,601628158.236563
2022-01-19,602172816.3930326
2022-01-20,603359390.5187805
2022-01-21,587428255.6031306
2022-01-24,566478559.2040164
2022-01-25,566478559.2040164
2022-01-27,566478559.2040164
2022-01-28,566478559.2040164
2022-01-31,566478579.2040164
2022-02-01,557663925.37012
2022-02-02,562808866.696234
2022-02-03,561204546.317834
2022-02-04,555948936.8070179
2022-02-07,555948936.8070179
2022-02-08,555948936.8070179
2022-02-09,555948936.8070179
2022-02-10,555948956.8070179
2022-02-11,548899826.8542655
2022-02-14,548899826.8542655
2022-02-15,548899826.8542655
2022-02-16,548899826.8542655
2022-02-17,548899846.8542655
2022-02-18,540737665.1864762
2022-02-21,540737665.1864762
2022-02-22,540737665.1864762
2022-02-23,540737665.1864762
2022-02-24,540737665.1864762
2022-02-25,540737665.1864762
2022-02-28,540737665.1864762
2022-03-02,540737665.1864762
2022-03-03,540737665.1864762
2022-03-04,540737665.1864762
2022-03-07,540737665.1864762
2022-03-08,540737665.1864762
2022-03-09,540737665.1864762
2022-03-10,540737665.1864762
2022-03-11,540737665.1864762
2022-03-14,540737665.1864762
2022-03-15,540737665.1864762
2022-03-16,540737665.1864762
2022-03-17,540737685.1864762
2022-03-21,537532498.3088309
2022-03-22,542381910.8756138
2022-03-23,548375976.5528531
2022-03-24,539530542.5734131
2022-03-25,539780299.1966004
2022-03-28,538698046.3909774
2022-03-29,542985473.4679013
2022-03-30,546294684.9196395
2022-03-31,543068720.5175561
2022-04-01,547064760.0204878
2022-04-04,556763530.7346385
2022-04-05,569542607.2907207
2022-04-06,570874628.3048327
2022-04-07,564901347.1027703
2022-04-08,565275998.7808931
2022-04-11,566920203.3793259
2022-04-12,551164847.5419183
2022-04-13,551164847.5419183
2022-04-18,551164847.5419183
2022-04-19,551164847.5419183
2022-04-20,551164847.5419183
2022-04-21,551164867.5419183
2022-04-22,545255618.7801551
2022-04-25,528866221.5653127
2022-04-26,528866221.5653127
2022-04-27,528866221.5653127
2022-04-28,528866221.5653127
2022-04-29,528866221.5653127
2022-05-02,528866221.5653127
2022-05-04,528866221.5653127
2022-05-05,528866221.5653127
2022-05-06,528866221.5653127
2022-05-09,528866221.5653127
2022-05-10,528866221.5653127
2022-05-11,528866221.5653127
2022-05-12,528866221.5653127
2022-05-13,528866221.5653127
2022-05-16,528866221.5653127
2022-05-17,528866241.5653127
2022-05-18,529603811.40916556
2022-05-19,506464846.86345714
2022-05-20,506464866.86345714
2022-05-23,515686964.0579126
2022-05-24,514511395.7865355
2022-05-25,510538815.0909641
2022-05-26,506018954.53031385
2022-05-27,522132291.88668096
2022-05-30,536543071.683162
2022-05-31,540535924.6290201
2022-06-01,539218492.3320041
2022-06-02,535245898.32158583
2022-06-03,529996392.7632676
2022-06-06,523287588.0732506
2022-06-07,528253339.9136003
2022-06-08,530239607.29056275
2022-06-09,523024070.9755134
2022-06-10,523024070.9755134
2022-06-13,523024070.9755134
2022-06-14,523024070.9755134
2022-06-15,523024070.9755134
2022-06-16,523024070.9755134
2022-06-17,523024070.9755134
2022-06-20,523024070.9755134
2022-06-21,523024070.9755134
2022-06-22,523024070.9755134
2022-06-23,523024070.9755134
2022-06-24,523024090.9755134
2022-06-27,530688725.4768195
2022-06-28,529900960.4143598
2022-06-29,531582896.9452673
2022-06-30,530475771.88335335
2022-07-01,523577660.425689
2022-07-04,523045369.06421834
2022-07-05,528431896.8864374
2022-07-06,529837064.3855407
2022-07-07,546358562.8333243
2022-07-08,559814205.8441315
2022-07-11,558536779.1250428
2022-07-12,550872131.5428891
2022-07-13,548700533.6336418
2022-07-14,546145641.3873221
2022-07-15,558515482.2404534
2022-07-18,573951145.5396677
2022-07-19,572865318.125478
2022-07-20,581637033.5453483
2022-07-21,579295052.8985746
